latitudine,longitudine,chilometri,STRADA
44.537017009762586,11.364559577409477,0,A13
44.54517371540387,11.369878882609786,1,A13
44.55333652491864,11.375179359077524,2,A13
44.5615170177683,11.380485211071615,3,A13
44.569629454766,11.38587058219775,4,A13
44.57778015636103,11.391218416541427,5,A13
44.585914998590106,11.396584765402574,6,A13
44.59405944906023,11.401940153232228,7,A13
44.6022359444133,11.407211776798077,8,A13
44.61040400826962,11.4124207231727,9,A13
44.61867517287524,11.417435769674748,10,A13
44.63406100904738,11.430513275457836,11,A13
44.6340612935668,11.43046027104378,12,A13
44.64164270084986,11.437258833354798,13,A13
44.64904933584406,11.44439918328317,14,A13
44.656457785688566,11.451661548482544,15,A13
44.663852074430174,11.458835001575544,16,A13
44.67131422860255,11.46599195344581,17,A13
44.678902337903175,11.472615239734916,18,A13
44.68674517418921,11.478838087104558,19,A13
44.69446598039888,11.485286964777377,20,A13
44.70227703352077,11.491529913913476,21,A13
44.71009674434716,11.49778500967532,22,A13
44.71794622251449,11.504053204931711,23,A13
44.72574322930021,11.51037062305473,24,A13
44.73358677405329,11.516566614604148,25,A13
44.74135835579452,11.522902866004676,26,A13
44.74934321078481,11.528676351327691,27,A13
44.75750228090808,11.533985091802244,28,A13
44.76566084383734,11.539353061979554,29,A13
44.77383264613536,11.544687220993431,30,A13
44.7820015222056,11.54997342805542,31,A13
44.79072298944203,11.55247228663022,32,A13
44.79978568420975,11.553317020862508,33,A13
44.80877856379865,11.554166710088658,34,A13
44.817722013609554,11.555522457931128,35,A13
44.82646979168369,11.558677604177054,36,A13
44.843923103264366,11.564724620504354,37,A13
44.852624061857135,11.5678838528244,38,A13
44.86145223010861,11.5699954774292,39,A13
44.87045966881639,11.570038816241455,40,A13
44.87943162821252,11.570132217548384,41,A13
44.888819794094246,11.570151871403732,42,A13
44.89749263937343,11.570177427587709,43,A13
44.9064426482497,11.570432798735542,44,A13
44.91371326446348,11.576726767011795,45,A13
44.92029624592133,11.586124319208968,46,A13
44.925889036137626,11.59590668438968,47,A13
44.931384646301744,11.606040215298384,48,A13
44.93701779453611,11.616008085968852,49,A13
44.94249708570016,11.626048716218936,50,A13
44.94842048723647,11.635504794774072,51,A13
44.956640277271134,11.640964336275022,52,A13
44.96471415110028,11.64632894568028,53,A13
44.972609421060106,11.652629551526504,54,A13
44.98044797671276,11.6588149568606,55,A13
44.9881912575634,11.66520124466026,56,A13
44.99601914428,11.671460608236773,57,A13
45.00378896001984,11.677822605830276,58,A13
45.01158379329652,11.68407389214786,59,A13
45.01918976306443,11.690968180568442,60,A13
45.02668788627078,11.697965444798166,61,A13
45.034398854319335,11.704501761733107,62,A13
45.04227866372647,11.710632284474888,63,A13
45.05017847520549,11.716774264382018,64,A13
45.05796870100056,11.722942977912805,65,A13
45.06587316171626,11.729097506643416,66,A13
45.0736960659904,11.735201923805326,67,A13
45.08160891443119,11.74144081668447,68,A13
45.08960648946646,11.747220844876818,69,A13
45.09789288999381,11.752143521954318,70,A13
45.10610036847087,11.757352096157982,71,A13
45.11367717491417,11.764208218717004,72,A13
45.12131302086137,11.770921443233044,73,A13
45.1299725354328,11.773919173483124,74,A13
45.13896167131452,11.77509497024097,75,A13
45.14789992869681,11.775358417597008,76,A13
45.1569135632117,11.775595036649646,77,A13
45.16619347428432,11.776075996673416,78,A13
45.174887100559296,11.776139967563305,79,A13
45.18381025358413,11.77638056306344,80,A13
45.19283715216976,11.77555854872583,81,A13
45.201869017811205,11.77471341428375,82,A13
45.21085264931734,11.774636947856198,83,A13
45.219773079086586,11.7747128185614,84,A13
45.228749346337445,11.77459092654728,85,A13
45.237783754302455,11.774710385074584,86,A13
45.24676484253139,11.77456227528053,87,A13
45.25561329531299,11.7760802734993,88,A13
45.26407299662954,11.780395927033966,89,A13
45.27246883436328,11.785013695856286,90,A13
45.28008820443974,11.791749851536476,91,A13
45.28763394085643,11.798777322248894,92,A13
45.29465391356197,11.80673546244538,93,A13
45.30157941264431,11.814921073383063,94,A13
45.30910771921225,11.821700021679398,95,A13
45.31720949868659,11.82727834788946,96,A13
45.32525986652524,11.832969209522968,97,A13
45.33315648807173,11.839161616847605,98,A13
45.33887146355571,11.848322490046854,99,A13
45.33955334741689,11.86119403465146,100,A13
45.34095806175144,11.873513398905567,101,A13
45.342731719209,11.88619875326796,102,A13
45.34468108043001,11.898702238958974,103,A13
45.34707774404323,11.910910188320496,104,A13
45.35003517865567,11.923015144563328,105,A13
