osm_id,name,ref,type,oneway,maxspeed,geometry1
4986295,,Autostrada Bolog,motorway,1,0,"LINESTRING (11.7722689 45.1229202, 11.7726659 45.1238375, 11.7730092 45.1248514, 11.7732345 45.1258706, 11.7741143 45.1301729, 11.7746722 45.1328176, 11.7750906 45.1354837, 11.7756163 45.1537871, 11.7760884 45.1687109, 11.7764317 45.178222, 11.7765927 45.1836776, 11.7763244 45.1875293, 11.775978 45.1903877, 11.7756163 45.1933818, 11.7749833 45.1984512, 11.7748327 45.2029304, 11.7748117 45.207222, 11.7747225 45.2253376, 11.7746601 45.2379976, 11.7746528 45.2394945, 11.7746464 45.2407993)"
5441531,A4,A4,motorway,1,0,"LINESTRING (8.5072956 45.469738, 8.5035248 45.4694633, 8.4970876 45.4690125, 8.479526 45.4677893, 8.4637901 45.4665219, 8.4560957 45.4659462, 8.4522066 45.4656307, 8.447649 45.4652816, 8.4436693 45.4650459, 8.4402701 45.4648677, 8.4363734 45.4645667, 8.42755 45.464049, 8.4193532 45.4636457, 8.409826 45.463122, 8.3959042 45.4623634, 8.3868062 45.4618758, 8.379296 45.4614604, 8.3763177 45.4612859, 8.369743 45.4606718, 8.3658243 45.4601933, 8.3528258 45.4581252, 8.3471185 45.4571605, 8.3428437 45.4564756, 8.3322991 45.4547141, 8.3230546 45.4532087, 8.3162705 45.4520744, 8.3095328 45.4509605, 8.3078588 45.4507623, 8.3016536 45.4496719, 8.2939545 45.4483713, 8.2859809 45.4470887, 8.2797019 45.4461048, 8.2732522 45.4451377, 8.2495449 45.441247, 8.2424471 45.4400424)"
5443550,A4,A4,motorway,1,0,"LINESTRING (8.5073385 45.4695854, 8.5215216 45.4705734, 8.5437406 45.4722134, 8.5552578 45.4730091, 8.5653239 45.4738409, 8.5709501 45.4744036, 8.5772278 45.4746701, 8.5829429 45.4748477, 8.5893094 45.4746108, 8.5955871 45.4739117, 8.6143051 45.4710425, 8.6149979 45.4709435, 8.6224663 45.4698858, 8.6286535 45.4692535, 8.6347809 45.4689522, 8.6432219 45.4688644, 8.6473351 45.4687691, 8.6685858 45.4684753, 8.6712427 45.46838, 8.6739416 45.46838, 8.6831855 45.4682391, 8.7339224 45.467433, 8.7520805 45.4672291, 8.7579801 45.4673876)"
5443552,A4,A4,motorway,1,0,"LINESTRING (8.7580022 45.4676184, 8.7520981 45.4673876, 8.7338889 45.467608, 8.7158136 45.468001, 8.6788293 45.4686427, 8.676384 45.4686852, 8.6750555 45.4686241, 8.6712427 45.4686241, 8.6591606 45.4687386, 8.653592 45.4688554, 8.6532153 45.4688687, 8.651062 45.468895, 8.6472912 45.4689217, 8.6347809 45.4691315, 8.6316099 45.4692535, 8.6286955 45.4694328, 8.6225627 45.4701107, 8.6149526 45.4711635, 8.6144015 45.4712352, 8.595676 45.4741074, 8.5893687 45.4748181, 8.5829725 45.4751142, 8.5772278 45.474907, 8.5710093 45.4745812, 8.5635027 45.4739443, 8.5552976 45.4732481, 8.5437406 45.4723868, 8.5321945 45.4716149, 8.5215216 45.4707565, 8.5072956 45.469738)"
5445619,A4,A4,motorway,1,0,"LINESTRING (8.7579801 45.4673876, 8.7651457 45.4676658, 8.7746813 45.4684132, 8.785118 45.4695088, 8.7961599 45.4707133, 8.8029673 45.4713905, 8.8083491 45.4719964, 8.8119489 45.472531, 8.8159407 45.4733508, 8.8210373 45.4744913, 8.8249935 45.4757387, 8.8287582 45.4769492, 8.8336819 45.4786837, 8.8388853 45.4804741, 8.8421584 45.4816491, 8.8446404 45.4823432, 8.8463162 45.4828244, 8.8477763 45.4832392, 8.8491368 45.4837369, 8.8501157 45.4842015, 8.8527703 45.4852136, 8.8569711 45.4869059, 8.8624601 45.4891783, 8.8655046 45.4900275, 8.8676293 45.4905001, 8.8724787 45.4914861, 8.8772705 45.4923458, 8.8797139 45.4927191, 8.8816378 45.4930129, 8.8840006 45.4931915, 8.8862536 45.4937114, 8.8881056 45.4941514, 8.9104005 45.4976322, 8.919642 45.4986313, 8.923379 45.4990273, 8.9270041 45.4994285, 8.9313186 45.4998801, 8.9408722 45.5007543, 8.9572321 45.5024402, 8.9692855 45.5034249, 8.9820081 45.5044695, 8.9916341 45.5051598, 8.9999914 45.505794, 9.0104813 45.5065939, 9.0273857 45.5085146, 9.0305996 45.5088634, 9.0503827 45.5110595, 9.0567539 45.5117378, 9.058526 45.5119593, 9.0600213 45.5120886, 9.0605244 45.512031, 9.0607227 45.5119963, 9.0612135 45.5120396)"
5446585,A4,A4,motorway,1,0,"LINESTRING (9.061119 45.5126591, 9.0608449 45.5126412, 9.060352 45.5125422, 9.0600649 45.5124838, 9.058533 45.5121309, 9.0503777 45.5112209, 9.0306208 45.5090384, 9.0104932 45.5068149, 9.0000101 45.5059992, 8.9916154 45.505365, 8.9820081 45.5047494, 8.9692855 45.5037233, 8.9572697 45.5028092, 8.941011 45.5011258, 8.9312426 45.5002472, 8.9265765 45.4995763, 8.9230795 45.4992172, 8.9197249 45.4988627, 8.9104005 45.4979444, 8.8881585 45.4944688, 8.8862016 45.4939928, 8.8840006 45.4934168, 8.8816031 45.4932382, 8.8796741 45.4929436, 8.8772332 45.4925707, 8.872444 45.4917114, 8.8652648 45.4901872, 8.8624346 45.4894118, 8.8602594 45.4885014, 8.856932 45.4870817, 8.8527538 45.4853463, 8.8500825 45.4843508, 8.8490704 45.4839194, 8.8477265 45.4833885, 8.846283 45.4830069, 8.8445741 45.4824925, 8.8421024 45.4818729, 8.8388573 45.4806979, 8.833598 45.4789355, 8.8287303 45.477145, 8.8249222 45.4759526, 8.8210373 45.4747408, 8.8158694 45.4735646, 8.8119489 45.4727805, 8.8083135 45.4722815, 8.8029317 45.4715687, 8.7961599 45.4709272, 8.7850261 45.4697211, 8.7745552 45.4686465, 8.765178 45.467892, 8.7580022 45.4676184)"
5639574,,Autostrada Bolog,motorway,1,0,"LINESTRING (11.7565512 45.1050138, 11.75727 45.1058882, 11.7631998 45.1124474)"
11974763,,A4,motorway,1,0,"LINESTRING (7.927146 45.2252222, 7.9225597 45.2233229, 7.9190019 45.2218873, 7.9169491 45.2210429, 7.910124 45.2182508, 7.8966199 45.2127024, 7.886643 45.208377, 7.8770809 45.204205, 7.8718386 45.2019145, 7.8565624 45.1951064, 7.852803 45.1934854, 7.8481853 45.1913563, 7.8459966 45.1902977, 7.8325435 45.1837523, 7.8234785 45.179192, 7.8081108 45.1716657, 7.7994167 45.1673465, 7.7830665 45.1592084, 7.7718327 45.1536471, 7.763639 45.1494947, 7.7556493 45.1455462, 7.7489201 45.1422279, 7.7435813 45.1396512, 7.740226 45.1379272, 7.7371673 45.1365554, 7.7341086 45.134887, 7.7319333 45.1336557, 7.7307745 45.133293, 7.729966 45.1333649, 7.7289703 45.1339099, 7.7282529 45.1343802, 7.7276868 45.1347858)"
13055021,,A4,motorway,1,0,"LINESTRING (10.2425387 45.5038042, 10.244407 45.503395, 10.2472963 45.5027066, 10.2507439 45.5018894, 10.2553603 45.5005515, 10.2603807 45.4991507, 10.2693996 45.4965975, 10.277492 45.4942262, 10.2880818 45.4907545, 10.2908771 45.4898631, 10.2981996 45.4879778, 10.3044693 45.4864433, 10.3139612 45.4840862, 10.3165679 45.4834453, 10.3256674 45.4814255, 10.3292356 45.4806169, 10.3550256 45.474823, 10.3638746 45.4728591, 10.3767112 45.4699211, 10.3846157 45.4681781, 10.3985698 45.4658498, 10.4007077 45.4655718, 10.4051494 45.465204, 10.4236168 45.4636883, 10.4286393 45.4632506, 10.4308205 45.4630343, 10.4323593 45.4627945, 10.4385012 45.4615328, 10.4440097 45.460374, 10.4509522 45.4589169, 10.4539428 45.4582794, 10.4559349 45.4577815, 10.4643079 45.4557072, 10.4671608 45.4549822, 10.4702329 45.454319, 10.4739977 45.4538613, 10.4764402 45.4536658, 10.4803818 45.4535207, 10.483883 45.45331, 10.4925325 45.452311, 10.5013261 45.4513418, 10.5167317 45.449919, 10.5184261 45.4497598, 10.5213241 45.4494854, 10.5234815 45.4492511, 10.5262515 45.4488229, 10.5284408 45.448368, 10.5309599 45.4477505, 10.533062 45.4471278, 10.5364277 45.4461241, 10.5392934 45.4454433, 10.5437931 45.4445994, 10.548518 45.4437239, 10.555821 45.4423899, 10.5621004 45.4412039, 10.5699978 45.4397275, 10.5775539 45.4383145, 10.584726 45.4370184, 10.5901349 45.4359705, 10.5956832 45.4349678, 10.5976346 45.4346235, 10.600251 45.4342875, 10.6040521 45.434049, 10.6070092 45.4339292, 10.6122026 45.4336365, 10.6138075 45.4335909, 10.6233077 45.4331229, 10.6296656 45.4328068, 10.634807 45.4325615, 10.6404099 45.432246, 10.6477407 45.4317804, 10.6554505 45.4312692, 10.6635813 45.4307734, 10.673388 45.430159)"
13768775,,A4,motorway,1,0,"LINESTRING (12.3597989 45.5829173, 12.3655111 45.5868372, 12.3800054 45.596841, 12.3829428 45.598755, 12.3861138 45.6006236, 12.39714 45.6066809, 12.4034462 45.6101942, 12.4072869 45.6122129, 12.4116406 45.6147337, 12.415862 45.6168855, 12.4302167 45.6234735)"
