latitudine,longitudine,chilometri
45.132780669149255,7.7305608321763355,0
45.13801380511592,7.740940456833277,1
45.14319703935363,7.751375839545616,2
45.148349151336014,7.761814623507072,3
45.153517943196526,7.772126106736311,4
45.158747031158775,7.782644880456751,5
45.16393584335631,7.793129330582283,6
45.169145577202194,7.803537916163603,7
45.174279961561254,7.813976847362474,8
45.17946735898708,7.824415779024707,9
45.184640749952926,7.834811490917975,10
45.189908296008205,7.8451632583731055,11
45.19483765519745,7.855913233507468,12
45.19954849996511,7.866728983796046,13
45.20430649009416,7.877551895132858,14
45.20905960423776,7.8883914482077175,15
45.213733559492155,7.899350749175585,16
45.218304155095296,7.910317652145818,17
45.22276452273553,7.921383141888504,18
45.227271772565445, 7.932448461751995,19
45.23178056005215, 7.943463273069102,20
45.236162408238336, 7.954455898932828,21
45.24001034034215, 7.9661886333699,22
45.243849224104316, 7.977743211934716,23
45.2483820858818, 7.98862407829497,24
45.25412830809466, 7.998651949335091,25
45.26089892031082, 8.006967036683644,26
45.26801410699134, 8.014772642515352,27
45.27517324890851, 8.022584320941156,28
45.282276108359895, 8.030258262087328,29
45.28950266676772, 8.038128971313261,30
45.296627881559964, 8.045896266041948,31
45.303686536060795, 8.053609560549319,32
45.310815130279494, 8.061625223276831,33
45.31789969092336, 8.069259811651515,34
45.32516258538056, 8.07694403754792,35
45.332345944997215, 8.084630469656531,36
45.33949105251727, 8.092362987382376,37
45.346655064236394, 8.10025212192051,38
45.35381035009366, 8.107920165616683,39
45.36098151406556, 8.115661208962791,40
45.368148434177655, 8.12336114952293,41
45.37525170845975, 8.131201437092198,42
45.38239889777119, 8.13893965424215,43
45.38951992838135, 8.146811141321242,44
45.39669210625449, 8.15454286954406,45
45.40377710239819, 8.16235559476655,46
45.41083987997252, 8.170198458744203,47
45.417541732116966, 8.178818990587478,48
45.42358084830101, 8.188134460224246,49
45.428658514569555, 8.198841555219383,50
45.432654431377266, 8.210395157083768,51
45.43600840973737, 8.222210194412975,52
45.43844462640801, 8.234512407595451,53
45.44046558982166, 8.247032943246419,54
45.44256083847858, 8.259492103428936,55
45.44478260327494, 8.271879089536549,56
45.446791528717505, 8.284403463691527,57
45.448823724077904, 8.296854790633313,58
45.45086803029659, 8.30932297320334,59
45.45287745413296, 8.321818221197832,60
45.45496244464627, 8.33431497332206,61
45.457003364202826, 8.346765112110683,62
45.45909799862255, 8.359233294480315,63
45.46078862270384, 8.371800319446915,64
45.46167452081748, 8.384557200899133,65
45.46256030584104, 8.39731673472875,66
45.4630855020416, 8.410118725191932,67
45.4637372447413, 8.422916204966047,68
45.46442694482712, 8.43569113024513,69
45.46530013100243, 8.448420946103273,70
45.46626504927055, 8.461191360265717,71
45.467215603947515, 8.473924474122136,72
45.46814642022294, 8.486671199280932,73
45.469104304539044, 8.499419697978688,74
45.47004404673048, 8.512200772172843,75
45.47096157672283, 8.524945785722183,76
45.47192461721162, 8.537670185599035,77
45.47278226515081, 8.550458969633693,78
45.47385814814821, 8.563151472778321,79
45.47470118618649, 8.575913074167515,80
45.47476343769414, 8.588712435680074,81
45.473195230240265, 8.601330226997538,82
45.471348237271854, 8.613872956001329,83
45.46956289232202, 8.626681079629094,84
45.46906563424435, 8.639224216712236,85
45.46887226895402, 8.652058846794151,86
45.46868416621689, 8.664858347895162,87
45.46853368339738, 8.677872439116005,88
45.46826281365193, 8.690446634922052,89
45.468082233089135, 8.703235406466355,90
45.46778125190311, 8.716088509903422,91
45.46758562127328, 8.728877282664195,92
45.46735989276751, 8.741730427219624,93
45.46742008713704, 8.754605030797848,94
45.468044583746355, 8.7674474136012,95
45.46901519815107, 8.780171813288973,96
45.46975255294015, 8.79292839907624,97
45.47014379851291, 8.8057600871307,98
45.472273029659895, 8.81810897780647,99
45.476804755151164, 8.82939176728513,100
45.481063074560375, 8.840430610204573,101
45.485259021693395, 8.851783876515563,102
45.489194017879946, 8.86345060896759,103
45.49202396124591, 8.875525459122533,104
45.49431916445613, 8.887898353682962,105
45.49634753779631, 8.900455483756339,106
45.497848725092325, 8.91311886446195,107
45.4993699358259, 8.92565286112737,108
45.50060939481402, 8.93844220013033,109
45.50191115705075, 8.951175670303266,110
45.50310382212789, 8.963844606684994,111
45.50419297288023, 8.976526772763483,112
45.505094325363224, 8.989137311260484,113
45.506094664909504, 9.001940272509659,114
45.507336847207505, 9.01466419304717,115
45.50871602461803, 9.027328778295754,116
45.509980312999495, 9.03995735735056,117
45.511407315841, 9.052621128384853,118
45.51271689636481, 9.065390003387236,119
45.51382392190972, 9.078080094224386,120
45.514342489788795, 9.090942461665604,121
45.51492353022469, 9.103545444727569,122
45.51549325036615, 9.1165312605209,123
45.519279596721596, 9.127674256269788,124
45.52437139690791, 9.13824735492967,125
45.52943250027887, 9.148823584527712,126
45.534528830482095, 9.159357410595623,127
45.53926829634434, 9.16931615180529,128
45.542886459339684, 9.18101198242564,129
45.54606097477414, 9.19296884269434,130
45.54830197104725, 9.20535602538949,131
45.54881788310648, 9.218095996228223,132
45.55049906514445, 9.230743879604676,133
45.5522945474813, 9.243273322609348,134
45.5542058270488, 9.255842795030736,135
45.556036567012995, 9.268448021245874,136
45.55796786863764, 9.280993047400642,137
45.55985154651269, 9.293522490178617,138
45.561744004356484, 9.30608982481725,139
45.5635627708486, 9.318641995491449,140
45.56547226912095, 9.331197126929467,141
45.56733254024765, 9.343786283058625,142
45.569074213644285, 9.356288220109764,143
45.57098404415044, 9.368880815539523,144
45.572907588452395, 9.381460441739092,145
45.57482096828383, 9.39402035085374,146
