latitudine,longitudine,chilometri
44.537017009762586, 11.364559577409475,0
44.54517371540387, 11.369878882609786,1
44.553336524918635, 11.375179359077524,2
44.5615170177683, 11.380485211071615,3
44.569629454766, 11.38587058219775,4
44.57778015636103, 11.391218416541427,5
44.585914998590106, 11.396584765402574,6
44.594059449060225, 11.401940153232227,7
44.6022359444133, 11.407211776798077,8
44.61040400826962, 11.4124207231727,9
44.618675172875236, 11.417435769674748,10
44.63406100904738, 11.430513275457836,11
44.6340612935668, 11.43046027104378,12
44.64164270084986, 11.437258833354798,13
44.64904933584406, 11.44439918328317,14
44.656457785688566, 11.451661548482544,15
44.663852074430174, 11.458835001575544,16
44.67131422860255, 11.46599195344581,17
44.678902337903175, 11.472615239734917,18
44.68674517418921, 11.478838087104558,19
44.694465980398874, 11.485286964777375,20
44.70227703352077, 11.491529913913475,21
44.710096744347155, 11.49778500967532,22
44.71794622251449, 11.504053204931711,23
44.725743229300214, 11.51037062305473,24
44.73358677405329, 11.516566614604148, 25
44.74135835579452, 11.522902866004676,26
44.74934321078481, 11.528676351327693,27
44.75750228090808, 11.533985091802244,28
44.76566084383734, 11.539353061979554,29
44.77383264613536, 11.544687220993431,30
44.7820015222056, 11.54997342805542,31
44.79072298944203, 11.55247228663022,32
44.79978568420975, 11.553317020862508,33
44.80877856379865, 11.554166710088658,34
44.817722013609554, 11.555522457931128,35
44.82646979168369, 11.558677604177054,36
44.843923103264366, 11.564724620504354,37
44.852624061857135, 11.5678838528244,38
44.861452230108604, 11.569995477429199,39
44.87045966881639, 11.570038816241457,40
44.879431628212515, 11.570132217548384,41
44.888819794094246, 11.570151871403732,42
44.89749263937343, 11.570177427587709,43
44.9064426482497, 11.570432798735542,44
44.91371326446348, 11.576726767011797,45
44.92029624592133, 11.586124319208968,46
44.925889036137626, 11.595906684389679,47
44.931384646301744, 11.606040215298384,48
44.93701779453611, 11.616008085968852,49
44.942497085700154, 11.626048716218937,50
44.94842048723647, 11.635504794774073,51
44.956640277271134, 11.640964336275022,52
44.96471415110028, 11.646328945680281,53
44.972609421060106, 11.652629551526504,54
44.98044797671276, 11.658814956860601,55
44.9881912575634, 11.66520124466026,56
44.99601914428, 11.671460608236773,57
45.00378896001984, 11.677822605830277,58
45.011583793296516, 11.684073892147861,59
45.01918976306443, 11.690968180568442,60
45.02668788627078, 11.697965444798166,61
45.034398854319335, 11.704501761733107,62
45.04227866372647, 11.710632284474887,63
45.05017847520549, 11.716774264382018,64
45.05796870100056, 11.722942977912805,65
45.06587316171626, 11.729097506643416,66
45.073696065990404, 11.735201923805326,67
45.08160891443119, 11.74144081668447,68
45.08960648946646, 11.747220844876818,69
45.09789288999381, 11.752143521954318,70
45.10610036847087, 11.757352096157982,71
45.11367717491417, 11.764208218717005,72
45.12131302086137, 11.770921443233044,73
45.1299725354328, 11.773919173483124,74
45.13896167131452, 11.77509497024097,75
45.14789992869681, 11.775358417597008,76
45.1569135632117, 11.775595036649646,77
45.16619347428432, 11.776075996673415,78
45.174887100559296, 11.776139967563305,79
45.183810253584134, 11.77638056306344,80
45.19283715216976, 11.77555854872583,81
45.201869017811205, 11.77471341428375,82
45.21085264931734, 11.774636947856198,83
45.219773079086586, 11.774712818561401,84
45.228749346337445, 11.774590926547281,85
45.237783754302455, 11.774710385074584,86
45.24676484253139, 11.77456227528053,87
45.25561329531299, 11.7760802734993,88
45.26407299662954, 11.780395927033966,89
45.27246883436328, 11.785013695856286,90
45.28008820443974, 11.791749851536476,91
45.28763394085643, 11.798777322248894,92
45.29465391356197, 11.80673546244538,93
45.30157941264431, 11.814921073383063,94
45.30910771921225, 11.821700021679398,95
45.31720949868659, 11.827278347889461,96
45.325259866525236, 11.832969209522968,97
45.33315648807173, 11.839161616847603,98
45.33887146355571, 11.848322490046854,99
45.33955334741689, 11.86119403465146,100
45.340958061751444, 11.873513398905567,101
45.342731719209, 11.88619875326796,102
45.34468108043001, 11.898702238958974,103
45.34707774404323, 11.910910188320495,104
45.350035178655666, 11.923015144563328,105
45.353294308039416, 11.934927556502279,106
45.35944460455858, 11.944316538123697,107
45.367931638618394, 11.948110881790543,108
45.37664960924493, 11.951583101340132,109
45.38498838810785, 11.955455763653223,110
45.39380398530009, 11.959039194776036,111
45.40239700665084, 11.962619373068573,112
45.41120035119694, 11.961845622715533,113
45.41973505828343, 11.956277647292698,114
45.42200834646566, 11.957590946091432,115
45.42300406808593, 11.961809002347815,116
